"","V1","city","gu","ad_dong","id","adstrd_code","cul_mean_amt","hel_mean_amt","medi_mean_amt","mean_commerce","conv_dep","mean_dep","bus_sum","wdoverwk","sub_sum","cluster","highsat","satis_ind"
"36",36,"서울특별시","용산구","청파동",1103071,1117055500,7.76173285198556,1.85,58.4027565084227,2078.75161290323,172.091046400455,735.792470604487,22,1.30437637395066,0,2,0,0.824527729064961
"37",37,"서울특별시","용산구","원효로1동",1103072,1117056000,4.95633187772926,1.64383561643836,51.3655705996132,443.979498861048,191.223439126281,740.055013027741,24,1.43490866731348,0,2,0,0.757618583781493
"38",38,"서울특별시","용산구","원효로2동",1103057,1117057000,2.72689075630252,1.375,21.017316017316,333.781758957655,120.641894721908,495.265130187633,23,1.06067832529143,0,2,0,0.499800423551878
"39",39,"서울특별시","용산구","효창동",1103058,1117058000,6.71111111111111,1.86274509803922,42.7710084033613,320.796774193548,191.663816178951,696.747562613281,15,1.16717187816315,1,2,0,0.672395428349156
"40",40,"서울특별시","용산구","용문동",1103059,1117059000,1.90643274853801,1,24.9362139917695,279.151898734177,155.998992341259,685.179525873713,17,1.10388229992764,0,2,0,0.66943259971399
"41",41,"서울특별시","용산구","한강로동",1103073,1117062500,80.5431818181818,7.85815602836879,157.737541528239,1142.28487518355,225.838589664181,729.626471595765,40,1.35240008677142,4,3,0,0.951668200339084
"42",42,"서울특별시","용산구","이촌1동",1103063,1117063000,2.52582159624413,3.12280701754386,110.632857142857,726.522580645161,269.648439413042,728.982312186396,13,1.06003013739188,0,3,0,0.93165405334391
"43",43,"서울특별시","용산구","이촌2동",1103064,1117064000,1,12.4710743801653,7.55489614243323,226.143859649123,106.881579594725,469.218499773529,8,1.03454580369547,0,2,0,0.416574902523985
"44",44,"서울특별시","용산구","이태원1동",1103065,1117065000,9.54716981132075,3.98260869565217,26.3375,661.977419354839,76.4952761858273,393.015922188522,15,0.934697664840785,1,2,0,0.41025889108815
"45",45,"서울특별시","용산구","이태원2동",1103066,1117066000,2.47014925373134,1.74324324324324,31.2095435684647,479.406779661017,98.649112667676,360.828485402357,18,1.03178906491856,0,2,0,0.402196444017288
"46",46,"서울특별시","용산구","한남동",1103074,1117068500,7.61176470588235,14.568578553616,170.315642458101,737.039772727273,228.85518431705,614.14545132639,34,1.06810302107946,1,3,0,0.757173900481452
"47",47,"서울특별시","용산구","서빙고동",1103069,1117069000,1,1.425,13.9030837004405,192.663551401869,144.975187894435,480.839222130839,21,1.03507354438634,0,2,0,0.479995109861961
"48",48,"서울특별시","용산구","보광동",1103070,1117070000,2.77868852459016,1,74.2662942271881,557.072139303483,95.398753058129,408.875828034375,11,0.977132224712268,0,2,0,0.441647501242737
"49",49,"서울특별시","성동구","왕십리2동",1104052,1120052000,5.44404332129964,1.11538461538462,33.0315581854043,313.501259445844,142.095072451508,551.877097021705,13,1.07385437237311,1,2,0,0.530455608365311
"50",50,"서울특별시","성동구","왕십리도선동",1104071,1120053500,9.82608695652174,7.66129032258065,108.027883396705,824.012437810945,265.293549165498,821.858750476945,26,1.15722207000943,0,3,0,1.08072741970153
"51",51,"서울특별시","성동구","마장동",1104054,1120054000,4.8219696969697,1.30769230769231,58.7410207939509,678.916129032258,175.23608393644,625.405160688341,28,1.14284074793857,1,2,0,0.640289924179183
"52",52,"서울특별시","성동구","사근동",1104055,1120055000,49.8548387096774,3.27835051546392,81.6492248062015,687.774278215223,168.054190473397,643.021123612903,35,1.16233540086308,2,2,0,0.658506888026667
"53",53,"서울특별시","성동구","행당1동",1104056,1120056000,42.9906103286385,13.1297709923664,195.77047146402,901.255269320843,117.253976588255,435.228441076438,26,1.14586835333984,2,2,0,0.458408418035448
"54",54,"서울특별시","성동구","행당2동",1104057,1120057000,1.66666666666667,1.56896551724138,43.646,350.237057220708,141.425805341977,533.379677590287,27,1.01526576595056,1,2,0,0.535138500221862
"55",55,"서울특별시","성동구","응봉동",1104058,1120058000,1.08333333333333,1.08333333333333,8.06398104265403,194.291095890411,167.09406706634,475.254087424867,27,0.981050300774299,0,2,0,0.482639912419351
"56",56,"서울특별시","성동구","금호1가동",1104059,1120059000,1.56944444444444,1.46875,52.8253968253968,281.427083333333,305.778548154452,763.247422712472,35,1.04229410139547,0,3,0,0.994996831093109
"57",57,"서울특별시","성동구","금호2.3가동",1104072,1120061500,5.77016129032258,2.03260869565217,86.9223140495868,376.454545454545,267.444677388191,693.280220543692,48,1.06573402807563,1,3,0,0.922671958391834
"58",58,"서울특별시","성동구","금호4가동",1104062,1120062000,3.5906976744186,1.77215189873418,76.5,434.835616438356,336.927884196665,806.316638185388,18,1.06965200180032,1,3,0,1.02765934967142
"59",59,"서울특별시","성동구","옥수동",1104073,1120064500,2.52816901408451,4.04237288135593,73.8563535911602,446.53317535545,287.110247742397,753.053177590761,40,1.08434360891977,1,3,0,0.976855359456029
"60",60,"서울특별시","성동구","성수1가1동",1104065,1120065000,6.43323442136499,1.82575757575758,47.95625,988.752442996743,175.810189047091,534.330318712646,33,1.03846703581863,0,2,0,0.572517823402308
"61",61,"서울특별시","성동구","성수1가2동",1104066,1120066000,5.7396449704142,3.38095238095238,81.0910780669145,603.511278195489,129.706747189122,459.302555028225,12,1.23659835157251,1,2,0,0.467190460621578
"62",62,"서울특별시","성동구","성수2가1동",1104067,1120067000,7.93835616438356,10.1578947368421,89.4527272727273,1474.55555555556,103.614202131521,390.285887120796,30,1.13854467933691,0,2,0,0.443197190314411
"63",63,"서울특별시","성동구","성수2가3동",1104068,1120069000,18.7933333333333,12.5386904761905,118.427941176471,1348.41891891892,116.524620660754,599.030678143323,21,1.71185828264788,1,2,0,0.591013518467364
"64",64,"서울특별시","성동구","송정동",1104069,1120072000,3.23766816143498,1.22727272727273,30.1555023923445,336.258064516129,115.637220344925,494.326360516923,15,1.04618849763569,0,2,0,0.492408041273986
"65",65,"서울특별시","성동구","용답동",1104070,1120079000,7.15107913669065,1.80722891566265,46.6479250334672,568.31935483871,242.844852490388,638.513888486916,13,1.09193812366486,3,3,0,0.74717555787398
"66",66,"서울특별시","광진구","화양동",1105053,1121571000,85.4403669724771,26.0353982300885,256.242562929062,1414.76309794989,142.984070288398,732.506108651136,18,1.10818798718682,2,2,0,0.694197274207858
"67",67,"서울특별시","광진구","군자동",1105054,1121573000,13.5400943396226,3.17543859649123,93.9954058192956,1301.63225806452,186.850159551067,657.835741624,22,1.1527560258716,0,2,0,0.701442597585242
"68",68,"서울특별시","광진구","중곡1동",1105055,1121574000,8.53,2.11904761904762,81.047913446677,677.051569506726,94.9104318255246,411.732740466636,17,1.06925790427783,2,2,0,0.438287160196991
"69",69,"서울특별시","광진구","중곡2동",1105056,1121575000,11.1543624161074,1.7375,141.140718562874,596.116666666667,120.65484154439,378.412792818163,16,1.14874521762668,0,2,0,0.439656679695153
"70",70,"서울특별시","광진구","중곡3동",1105057,1121576000,7.64912280701754,1.47826086956522,55.7211796246649,475.729032258065,128.246944867029,437.401377658731,24,1.028825620938,1,2,0,0.461967571447787
"71",71,"서울특별시","광진구","중곡4동",1105058,1121577000,13.9700996677741,2.73,104.262206148282,730.296019900498,124.806138371981,433.537914804574,32,0.994540809918421,0,2,0,0.489649207196793
"72",72,"서울특별시","광진구","능동",1105059,1121578000,16.9647887323944,2.22340425531915,42.2097902097902,646.47602739726,219.504395884058,774.222157112381,7,1.10961897441663,2,3,0,0.927457917396273
"73",73,"서울특별시","광진구","광장동",1105063,1121581000,3.02380952380952,8.49112426035503,83.1270417422867,800.118721461187,324.697993020841,696.312137291877,36,1.0374485786167,1,3,0,0.87363241704372
"74",74,"서울특별시","광진구","자양1동",1105064,1121582000,7.49484536082474,1.42105263157895,120.137834036568,705.377308707124,110.279193009007,444.802935191341,7,1.20956201867163,0,2,0,0.477286578307253
"75",75,"서울특별시","광진구","자양2동",1105065,1121583000,9.48763250883392,3.20792079207921,60.3288288288288,588.425806451613,109.586011946123,442.074958392352,20,1.04109777194933,1,2,0,0.458569105256706
"76",76,"서울특별시","광진구","자양3동",1105066,1121584000,17.4825174825175,12.4713375796178,87.7068062827225,962.034782608696,160.304508222947,552.435807410022,16,1.0692853860815,1,2,0,0.521409462798742
"77",77,"서울특별시","광진구","자양4동",1105067,1121584700,18.6735159817352,1.575,122.637992831541,1213.08387096774,71.3343486907811,337.701585980547,9,1.08392545398131,0,2,0,0.415890245464947
"78",78,"서울특별시","광진구","구의1동",1105060,1121585000,21.6775147928994,1.79824561403509,121.107547169811,830.856790123457,93.1049495038987,461.98952343683,10,1.25475683951314,0,2,0,0.496594021574949
"79",79,"서울특별시","광진구","구의2동",1105061,1121586000,7.58419243986254,3.8,61.3065693430657,678.373576309795,133.249132632241,535.119042561153,22,1.02062762338915,0,2,0,0.543235408391289
"80",80,"서울특별시","광진구","구의3동",1105062,1121587000,27.2374429223744,68.4712230215827,199.984455958549,932.370283018868,201.115593163683,590.187757275472,26,1.15572389009165,1,2,0,0.382072071431773
"81",81,"서울특별시","동대문구","용신동",1106081,1123053600,16.0482573726542,2.2020202020202,152.211597151577,1509.18905472637,150.514994527995,739.991514023897,40,1.25161627791051,3,2,0,0.843613527553391
"82",82,"서울특별시","동대문구","제기동",1106082,1123054500,2.56890459363958,1.58536585365854,64.8886255924171,886.990322580645,124.482939444108,517.889739415639,27,1.19990763045294,1,2,0,0.544499731677961
"83",83,"서울특별시","동대문구","전농1동",1106083,1123056000,23.2253521126761,5.85775862068965,144.563662374821,1006.77611940299,97.9146197824767,431.953150212212,28,1.15913878772136,0,2,0,0.489553267521076
"84",84,"서울특별시","동대문구","전농2동",1106084,1123057000,8.9963768115942,1.94805194805195,84.1973018549747,369.810933940774,98.3293746213955,389.461198929155,13,1.13273690645451,0,2,0,0.424569356650988
"85",85,"서울특별시","동대문구","답십리1동",1106091,1123060000,5.20979020979021,4.5,109.13381294964,636.4,137.401736641866,626.790029479474,27,1.1980597518915,0,2,0,0.648433033490506
